ID,Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
997,Travel Agents,MILLENNIUM TRAVELS AND TOURS (PVT) LTD,"NO. 532/3G/1, SIRIKOTHA LANE, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
998,Travel Agents,AIR SOLUTIONS (PVT)LTD,"PERSHIP HOUSE,LEVEL 4,35,EDWARD LANE,COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
999,Travel Agents,CONSTANT HOLIDAYS (PVT)LTD,"246,PARK ROAD,COLOMBO 05",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1000,Travel Agents,RED APPLE TRAVELS & TOURS (PVT) LTD,"L1-60, REALITY PLAZA, NEGOMBO ROAD, JA-ELA",Not Graded,Gampaha,Gampaha,Ja-Ela Divisional Secretariat
1001,Travel Agents,HILLTOP GLOBAL (PVT) LTD,"HILLTOP HOUSE,NO. 14, 16TH LANE, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1002,Travel Agents,HAPPY TRAVELS INTERNATIONAL (PVT) LTD,"NO.247, POLHENGODA ROAD, COLOMBO 05",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1003,Travel Agents,TRAVEL DEVELOPMENT LANKA (PVT) LTD,"ROOM 130,.FIRST FLOOR,GALADARI HOTEL,64,LOTUS ROAD,COLOMBO 01",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1004,Travel Agents,RAFFLES LEISURE (PVT) LTD,"NO 76, S.D.S JAYASINGHE MW, KOHUWELA.",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1005,Travel Agents,SARINTA TRAVELS AND TOURS (PVT) LTD,"NO . 88 ,JUSTICE AKBAR MAWATHA ,COLOMBO 02",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1006,Travel Agents,WISDOM TRAVELS AND TOURS INTERNATIONAL (PRIVATE) LTD,"NO:237, VAUXHALL STREET,COLOMBO 02",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1007,Travel Agents,FLYWING TOURS,"NO.80/B,LUWIS PLACE,NEGOMBO",Not Graded,Gampaha,Gampaha,Gampaha Divisional Secretariat
1008,Travel Agents,GOLDEN ISLE TRAVELS (PVT) LTD,"M-07, MEZZANINE FLOOR, GALADARI HOTEL, NO. 64, LOTUS ROAD, COLOMBO 01",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1009,Travel Agents,SUNCITY TRAVELS & TOURS (PVT) LTD,"NO. 7 1/4A, ORCHARD COMPLEX, GALLE ROAD, COLOMBO 06",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1010,Travel Agents,GREENLAND TRAVELS & TOURS,"NO.19/ 1 /B,GALLE FACE TERRACE, GALLE ROAD, COLOMBO 03.",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1011,Travel Agents,SETMIL AVIATION (PVT)LTD,"SETMIL MARITIME CENTER,256, SRIMATH RAMANATHAN MAWATHA, COLOMBO 15",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1012,Travel Agents,AYUBOWAN TRAVELS INTERNATIONAL (PVT) LTD,"NO.49,GEMUNU MAWATHA,HUNUPITIYA,WATTALA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1013,Travel Agents,LAKPURA TRAVELS (PVT) LTD,"NO.78A,C.P.DE SILVA MAWATHA,KALDEMULLA,MORATUWA.",Not Graded,Colombo,Moratuwa,Moratuwa Divisional Secretariat
1014,Travel Agents,RANFER TRAVELS (PVT) LTD,"NO.36, KETAWALAMULLA PLACE, COLOMBO 09",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1015,Travel Agents,TRABANA TOURS (PVT) LTD,"NO. 26C/1, ALWIS PLACE, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1016,Travel Agents,UTOPIA VACATIONS (PVT) LTD,"NO. 82. B/1, BAUDHDHALOKA MAWATHA, COLOMBO 04",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1017,Travel Agents,SOFTLOGIC DESTINATION MANAGEMENT (PVT) LTD,"NO. 321 B 1A, LAXSHMAN BUILDING, ST. ANTHONY'S MAWATHA, COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1018,Travel Agents,361 DEGREES (PVT) LTD,"NO.41/30, DM COLOAMBAGE MAWATHA, COLOMBO 05",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1019,Travel Agents,ELEPHANT ISLAND (PRIVATE) LTD,"NO. 91/1, RAJAGIRIYA ROAD. RAJAGIRIYA",Not Graded,Colombo,Kotte Muncipal Council,Colombo Divisional Secretariat
